images captions
multimodal/damaged_nature/images/landslide_2017-10-25_00-17-26.jpg multimodal/damaged_nature/text/landslide_2017-10-25_00-17-26.txt
multimodal/fires/images/buildingfire_2016-08-26_05-26-27.jpg multimodal/fires/text/buildingfire_2016-08-26_05-26-27.txt
multimodal/non_damage/images/building_2017-10-30_17-04-38.jpg multimodal/non_damage/text/building_2017-10-30_17-04-38.txt
multimodal/damaged_nature/images/landslide_2017-10-21_22-36-41.jpg multimodal/damaged_nature/text/landslide_2017-10-21_22-36-41.txt
multimodal/non_damage/images/ad_2017-11-25_02-05-12.jpg multimodal/non_damage/text/ad_2017-11-25_02-05-12.txt
multimodal/non_damage/images/ad_2017-11-25_03-58-48.jpg multimodal/non_damage/text/ad_2017-11-25_03-58-48.txt
multimodal/damaged_infrastructure/images/buildingcollapse_2016-12-09_00-52-40.jpg multimodal/damaged_infrastructure/text/buildingcollapse_2016-12-09_00-52-40.txt
multimodal/non_damage/images/ad_2017-11-25_07-48-56.jpg multimodal/non_damage/text/ad_2017-11-25_07-48-56.txt
multimodal/non_damage/images/ad_2017-11-25_11-01-50.jpg multimodal/non_damage/text/ad_2017-11-25_11-01-50.txt
multimodal/damaged_infrastructure/images/buildingcollapse_2013-07-02_23-52-29.jpg multimodal/damaged_infrastructure/text/buildingcollapse_2013-07-02_23-52-29.txt
multimodal/damaged_infrastructure/images/destruction_2017-10-29_08-44-30.jpg multimodal/damaged_infrastructure/text/destruction_2017-10-29_08-44-30.txt
multimodal/fires/images/suicidebombing_2017-11-21_17-45-15.jpg multimodal/fires/text/suicidebombing_2017-11-21_17-45-15.txt
multimodal/non_damage/images/ad_2017-11-25_08-10-29.jpg multimodal/non_damage/text/ad_2017-11-25_08-10-29.txt
multimodal/damaged_infrastructure/images/sandydamage_2014-12-01_12-01-56.jpg multimodal/damaged_infrastructure/text/sandydamage_2014-12-01_12-01-56.txt
multimodal/non_damage/images/ad_2017-11-25_06-54-30.jpg multimodal/non_damage/text/ad_2017-11-25_06-54-30.txt
multimodal/non_damage/images/ad_2017-11-25_09-30-12.jpg multimodal/non_damage/text/ad_2017-11-25_09-30-12.txt
multimodal/fires/images/buildingfire_2017-08-14_03-25-43.jpg multimodal/fires/text/buildingfire_2017-08-14_03-25-43.txt
multimodal/non_damage/images/ad_2017-11-25_11-51-11.jpg multimodal/non_damage/text/ad_2017-11-25_11-51-11.txt
multimodal/flood/images/naturaldisaster_2017-10-17_18-23-21.jpg multimodal/flood/text/naturaldisaster_2017-10-17_18-23-21.txt
multimodal/damaged_nature/images/sandydamage_2012-11-05_22-09-27.jpg multimodal/damaged_nature/text/sandydamage_2012-11-05_22-09-27.txt
multimodal/damaged_infrastructure/images/suicidebombing_2017-10-23_19-17-39.jpg multimodal/damaged_infrastructure/text/suicidebombing_2017-10-23_19-17-39.txt
multimodal/damaged_infrastructure/images/hurricaneirma_2017-11-15_21-30-40.jpg multimodal/damaged_infrastructure/text/hurricaneirma_2017-11-15_21-30-40.txt
multimodal/non_damage/images/cars_2017-10-30_17-48-20.jpg multimodal/non_damage/text/cars_2017-10-30_17-48-20.txt
multimodal/flood/images/floodwater_2017-09-19_17-47-10.jpg multimodal/flood/text/floodwater_2017-09-19_17-47-10.txt
multimodal/fires/images/buildingfire_2017-06-14_12-40-37.jpg multimodal/fires/text/buildingfire_2017-06-14_12-40-37.txt
multimodal/non_damage/images/ad_2017-11-25_10-27-20.jpg multimodal/non_damage/text/ad_2017-11-25_10-27-20.txt
multimodal/non_damage/images/ad_2017-11-25_07-42-43.jpg multimodal/non_damage/text/ad_2017-11-25_07-42-43.txt
multimodal/damaged_infrastructure/images/earthquake_2017-11-13_21-13-27.jpg multimodal/damaged_infrastructure/text/earthquake_2017-11-13_21-13-27.txt
multimodal/flood/images/naturaldisaster_2017-10-29_19-47-51.jpg multimodal/flood/text/naturaldisaster_2017-10-29_19-47-51.txt
multimodal/non_damage/images/building_2017-10-30_17-40-59.jpg multimodal/non_damage/text/building_2017-10-30_17-40-59.txt
multimodal/non_damage/images/ad_2017-11-25_03-59-37.jpg multimodal/non_damage/text/ad_2017-11-25_03-59-37.txt
multimodal/non_damage/images/building_2017-10-30_17-18-50.jpg multimodal/non_damage/text/building_2017-10-30_17-18-50.txt
multimodal/damaged_infrastructure/images/wreckedcar_2017-05-30_18-31-53.jpg multimodal/damaged_infrastructure/text/wreckedcar_2017-05-30_18-31-53.txt
multimodal/non_damage/images/ad_2017-11-25_05-13-53.jpg multimodal/non_damage/text/ad_2017-11-25_05-13-53.txt
